,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Brad Wanamaker,30,07/25/89,"Philadelphia, PA",Pittsburgh,1,5aad35bbbb760e3958107639266768ae,,https://a.espncdn.com/i/headshots/nba/players/full/6507.png,75.0,6507,9,Brad Wanamaker,PG,1445697.0,boston-celtics,s:40~l:46~a:6507,210.0,99.0,1.0,15.7,1.9,4.3,44.0,0.5,1.3,38.0,1.3,1.5,91.7,0.2,1.4,1.7,2.2,0.1,0.6,1.6,0.9,5.6
Carsen Edwards,22,03/12/98,"Houston, TX",Purdue,0,4b8ebdfd01221567925035c1e0d0c337,,https://a.espncdn.com/i/headshots/nba/players/full/4066407.png,71.0,4066407,4,Carsen Edwards,PG,1228026.0,boston-celtics,s:40~l:46~a:4066407,200.0,35.0,0.0,9.0,1.1,3.2,32.7,0.6,1.9,30.9,0.3,0.4,84.6,0.2,1.1,1.2,0.6,0.1,0.3,0.9,0.4,3.0
Daniel Theis,27,04/04/92,Germany,,2,ce75206c087f83ace6f9a8e3efbd9671,,https://a.espncdn.com/i/headshots/nba/players/full/2451037.png,80.0,2451037,27,Daniel Theis,C,5000000.0,boston-celtics,s:40~l:46~a:2451037,245.0,187.0,62.0,17.2,2.6,4.7,55.4,0.4,1.1,34.0,1.1,1.4,75.3,1.6,3.1,4.7,1.2,0.9,0.5,2.8,0.7,6.7
Enes Kanter,27,05/20/92,Switzerland,Kentucky,8,1e039b407b3daa6eeac69432aa6413fd,,https://a.espncdn.com/i/headshots/nba/players/full/6447.png,82.0,6447,11,Enes Kanter,C,4767000.0,boston-celtics,s:40~l:46~a:6447,250.0,634.0,222.0,21.8,4.8,8.8,54.2,0.1,0.2,28.7,2.0,2.6,77.6,2.9,4.7,7.6,0.9,0.5,0.4,2.2,1.5,11.6
Gordon Hayward,30,03/23/90,"Indianapolis, IN",Butler,9,56f675cb8f40a5aaee5f5747ec9099c5,,https://a.espncdn.com/i/headshots/nba/players/full/4249.png,79.0,4249,20,Gordon Hayward,SF,32700690.0,boston-celtics,s:40~l:46~a:4249,225.0,634.0,472.0,30.8,5.2,11.6,45.1,1.3,3.6,36.6,3.5,4.2,82.2,0.7,3.6,4.4,3.5,0.4,1.0,1.7,2.0,15.3
Grant Williams,21,11/30/98,"Houston, TX",Tennessee,0,3a93561dd9c3f1e8de40fbc7b40f7a5e,,https://a.espncdn.com/i/headshots/nba/players/full/4066218.png,78.0,4066218,12,Grant Williams,PF,2379840.0,boston-celtics,s:40~l:46~a:4066218,236.0,62.0,5.0,15.6,1.3,3.1,41.7,0.3,1.4,24.7,0.6,0.8,72.5,0.9,1.7,2.7,1.0,0.5,0.5,2.4,0.7,3.5
Javonte Green,26,07/23/93,"Alberta, VA",Radford,0,a4940ed033e0a114e8862f5a094aa3f8,,https://a.espncdn.com/i/headshots/nba/players/full/2596112.png,76.0,2596112,43,Javonte Green,SG,898310.0,boston-celtics,s:40~l:46~a:2596112,205.0,44.0,1.0,9.4,1.1,2.2,50.0,0.1,0.5,26.1,0.5,0.8,63.9,0.4,1.4,1.8,0.5,0.2,0.5,0.8,0.4,2.9
Jaylen Brown,23,10/24/96,"Marietta, GA",California,3,0d5cde01f6d3225fdae544ef3304cda2,,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,78.0,3917376,7,Jaylen Brown,SG,6534829.0,boston-celtics,s:40~l:46~a:3917376,223.0,272.0,165.0,26.1,4.8,10.3,47.0,1.4,3.7,37.0,1.9,2.8,68.0,0.8,3.6,4.4,1.4,0.3,0.8,2.4,1.5,12.9
Jayson Tatum,22,03/03/98,,Duke,2,ed3343b02ffaf6b4e4223a1920938c81,,https://a.espncdn.com/i/headshots/nba/players/full/4065648.png,80.0,4065648,0,Jayson Tatum,PF,7830000.0,boston-celtics,s:40~l:46~a:4065648,210.0,218.0,218.0,31.8,6.2,13.7,45.6,1.8,4.5,39.9,2.9,3.5,82.7,0.8,5.1,5.9,2.2,0.8,1.1,2.1,1.7,17.2
Kemba Walker,29,05/08/90,"Bronx, NY",Connecticut,8,665c55b2776846ac62a04efb4c9bcc80,,https://a.espncdn.com/i/headshots/nba/players/full/6479.png,72.0,6479,8,Kemba Walker,PG,32742000.0,boston-celtics,s:40~l:46~a:6479,184.0,655.0,610.0,33.9,6.9,16.5,41.8,2.2,6.1,36.0,4.0,4.7,83.8,0.6,3.3,3.8,5.4,0.4,1.3,1.5,2.2,20.0
