,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Brad Wanamaker,99.0,1.0,15.7,1.9,4.3,44.0,0.5,1.3,38.0,1.3,1.5,91.7,0.2,1.4,1.7,2.2,0.1,0.6,1.6,0.9,5.6
Carsen Edwards,35.0,0.0,9.0,1.1,3.2,32.7,0.6,1.9,30.9,0.3,0.4,84.6,0.2,1.1,1.2,0.6,0.1,0.3,0.9,0.4,3.0
Daniel Theis,187.0,62.0,17.2,2.6,4.7,55.4,0.4,1.1,34.0,1.1,1.4,75.3,1.6,3.1,4.7,1.2,0.9,0.5,2.8,0.7,6.7
Enes Kanter,634.0,222.0,21.8,4.8,8.8,54.2,0.1,0.2,28.7,2.0,2.6,77.6,2.9,4.7,7.6,0.9,0.5,0.4,2.2,1.5,11.6
Gordon Hayward,634.0,472.0,30.8,5.2,11.6,45.1,1.3,3.6,36.6,3.5,4.2,82.2,0.7,3.6,4.4,3.5,0.4,1.0,1.7,2.0,15.3
Grant Williams,62.0,5.0,15.6,1.3,3.1,41.7,0.3,1.4,24.7,0.6,0.8,72.5,0.9,1.7,2.7,1.0,0.5,0.5,2.4,0.7,3.5
Javonte Green,44.0,1.0,9.4,1.1,2.2,50.0,0.1,0.5,26.1,0.5,0.8,63.9,0.4,1.4,1.8,0.5,0.2,0.5,0.8,0.4,2.9
Jaylen Brown,272.0,165.0,26.1,4.8,10.3,47.0,1.4,3.7,37.0,1.9,2.8,68.0,0.8,3.6,4.4,1.4,0.3,0.8,2.4,1.5,12.9
Jayson Tatum,218.0,218.0,31.8,6.2,13.7,45.6,1.8,4.5,39.9,2.9,3.5,82.7,0.8,5.1,5.9,2.2,0.8,1.1,2.1,1.7,17.2
Kemba Walker,655.0,610.0,33.9,6.9,16.5,41.8,2.2,6.1,36.0,4.0,4.7,83.8,0.6,3.3,3.8,5.4,0.4,1.3,1.5,2.2,20.0
Marcus Smart,394.0,182.0,29.0,3.3,8.8,37.4,1.5,4.6,31.8,1.8,2.4,77.4,0.9,2.7,3.6,4.0,0.4,1.6,2.6,1.7,9.9
Romeo Langford,27.0,1.0,11.0,0.9,2.4,37.5,0.2,0.9,21.7,0.6,0.9,69.6,0.5,0.7,1.2,0.2,0.2,0.3,1.1,0.3,2.6
Semi Ojeleye,190.0,8.0,13.9,1.0,2.7,39.0,0.5,1.6,33.3,0.4,0.6,68.5,0.4,1.5,2.0,0.4,0.1,0.3,1.0,0.3,3.0
