,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight
Brad Wanamaker,30,07/25/89,"Philadelphia, PA",Pittsburgh,1,5aad35bbbb760e3958107639266768ae,,https://a.espncdn.com/i/headshots/nba/players/full/6507.png,"6' 3""",6507,9,Brad Wanamaker,PG,"$1,445,697",boston-celtics,s:40~l:46~a:6507,210 lbs
Carsen Edwards,22,03/12/98,"Houston, TX",Purdue,0,4b8ebdfd01221567925035c1e0d0c337,,https://a.espncdn.com/i/headshots/nba/players/full/4066407.png,"5' 11""",4066407,4,Carsen Edwards,PG,"$1,228,026",boston-celtics,s:40~l:46~a:4066407,200 lbs
Daniel Theis,27,04/04/92,Germany,,2,ce75206c087f83ace6f9a8e3efbd9671,,https://a.espncdn.com/i/headshots/nba/players/full/2451037.png,"6' 8""",2451037,27,Daniel Theis,C,"$5,000,000",boston-celtics,s:40~l:46~a:2451037,245 lbs
Enes Kanter,27,05/20/92,Switzerland,Kentucky,8,1e039b407b3daa6eeac69432aa6413fd,,https://a.espncdn.com/i/headshots/nba/players/full/6447.png,"6' 10""",6447,11,Enes Kanter,C,"$4,767,000",boston-celtics,s:40~l:46~a:6447,250 lbs
Gordon Hayward,30,03/23/90,"Indianapolis, IN",Butler,9,56f675cb8f40a5aaee5f5747ec9099c5,,https://a.espncdn.com/i/headshots/nba/players/full/4249.png,"6' 7""",4249,20,Gordon Hayward,SF,"$32,700,690",boston-celtics,s:40~l:46~a:4249,225 lbs
Grant Williams,21,11/30/98,"Houston, TX",Tennessee,0,3a93561dd9c3f1e8de40fbc7b40f7a5e,,https://a.espncdn.com/i/headshots/nba/players/full/4066218.png,"6' 6""",4066218,12,Grant Williams,PF,"$2,379,840",boston-celtics,s:40~l:46~a:4066218,236 lbs
Javonte Green,26,07/23/93,"Alberta, VA",Radford,0,a4940ed033e0a114e8862f5a094aa3f8,,https://a.espncdn.com/i/headshots/nba/players/full/2596112.png,"6' 4""",2596112,43,Javonte Green,SG,"$898,310",boston-celtics,s:40~l:46~a:2596112,205 lbs
Jaylen Brown,23,10/24/96,"Marietta, GA",California,3,0d5cde01f6d3225fdae544ef3304cda2,,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,"6' 6""",3917376,7,Jaylen Brown,SG,"$6,534,829",boston-celtics,s:40~l:46~a:3917376,223 lbs
Jayson Tatum,22,03/03/98,,Duke,2,ed3343b02ffaf6b4e4223a1920938c81,,https://a.espncdn.com/i/headshots/nba/players/full/4065648.png,"6' 8""",4065648,0,Jayson Tatum,PF,"$7,830,000",boston-celtics,s:40~l:46~a:4065648,210 lbs
Kemba Walker,29,05/08/90,"Bronx, NY",Connecticut,8,665c55b2776846ac62a04efb4c9bcc80,,https://a.espncdn.com/i/headshots/nba/players/full/6479.png,"6' 0""",6479,8,Kemba Walker,PG,"$32,742,000",boston-celtics,s:40~l:46~a:6479,184 lbs
Marcus Smart,26,03/06/94,"Dallas, TX",Oklahoma State,5,f5096a5bcbc51d7fd40656c623c434e5,,https://a.espncdn.com/i/headshots/nba/players/full/2990992.png,"6' 3""",2990992,36,Marcus Smart,PG,"$12,553,571",boston-celtics,s:40~l:46~a:2990992,220 lbs
Romeo Langford,20,10/25/99,"New Albany, IN",Indiana,0,75220698859cebd0a78dd7abedc92687,,https://a.espncdn.com/i/headshots/nba/players/full/4397008.png,"6' 4""",4397008,45,Romeo Langford,SG,"$3,458,400",boston-celtics,s:40~l:46~a:4397008,216 lbs
Semi Ojeleye,25,12/05/94,"Overland Park, KS",SMU,2,b708196e083cbae669f4c726a15dedbe,,https://a.espncdn.com/i/headshots/nba/players/full/3056602.png,"6' 6""",3056602,37,Semi Ojeleye,PF,"$1,618,520",boston-celtics,s:40~l:46~a:3056602,240 lbs
Tacko Fall,24,12/10/95,Senegal,UCF,0,cec7bd80fe2880fe8d9efe9a2294a563,,https://a.espncdn.com/i/headshots/nba/players/full/3904625.png,"7' 5""",3904625,99,Tacko Fall,C,0,boston-celtics,s:40~l:46~a:3904625,311 lbs
Tremont Waters,22,01/10/98,"New Haven, CT",LSU,0,af6e260eb5e35114915d1f5af1028733,,https://a.espncdn.com/i/headshots/nba/players/full/4278080.png,"5' 10""",4278080,51,Tremont Waters,PG,0,boston-celtics,s:40~l:46~a:4278080,175 lbs
Vincent Poirier,26,10/17/93,France,,0,3cc13d622a26f0a48ff42fc6ee7370fb,,https://a.espncdn.com/i/headshots/nba/players/full/4237215.png,"7' 0""",4237215,77,Vincent Poirier,C,"$2,505,793",boston-celtics,s:40~l:46~a:4237215,235 lbs
Caris LeVert,25,08/25/94,"Columbus, OH",Michigan,3,32ca28ecabc26b16452fede2deec2b30,,https://a.espncdn.com/i/headshots/nba/players/full/2991043.png,"6' 6""",2991043,22,Caris LeVert,SG,"$2,625,718",brooklyn-nets,s:40~l:46~a:2991043,205 lbs
Chris Chiozza,24,11/25/95,"Memphis, TN",Florida,1,9a990b112a42aa231daa2f2dbafd582e,,https://a.espncdn.com/i/headshots/nba/players/full/3137795.png,"5' 11""",3137795,4,Chris Chiozza,PG,0,brooklyn-nets,s:40~l:46~a:3137795,176 lbs
DeAndre Jordan,31,07/21/88,"Houston, TX",Texas A&M,11,9c8e25a29e683ba859c8946b508a059e,,https://a.espncdn.com/i/headshots/nba/players/full/3442.png,"6' 11""",3442,6,DeAndre Jordan,C,"$9,881,598",brooklyn-nets,s:40~l:46~a:3442,265 lbs
Dzanan Musa,20,05/08/99,,,1,ab1cc72137f128c1b28b539c37b0840a,,https://a.espncdn.com/i/headshots/nba/players/full/4348696.png,"6' 9""",4348696,13,Dzanan Musa,SG,"$1,911,600",brooklyn-nets,s:40~l:46~a:4348696,217 lbs
Garrett Temple,33,05/08/86,"Baton Rouge, LA",LSU,9,4db0d5c9fcda03269e731d0b3b409658,,https://a.espncdn.com/i/headshots/nba/players/full/4023.png,"6' 5""",4023,17,Garrett Temple,SG,"$4,767,000",brooklyn-nets,s:40~l:46~a:4023,195 lbs
Jarrett Allen,21,04/21/98,"San Diego, CA",Texas,2,2c854df9a5a000969a6ec13cefab21d0,,https://a.espncdn.com/i/headshots/nba/players/full/4066328.png,"6' 11""",4066328,31,Jarrett Allen,C,"$2,376,840",brooklyn-nets,s:40~l:46~a:4066328,243 lbs
Jeremiah Martin,23,06/19/96,"Memphis, TN",Memphis,0,03780ce5adb19954fe4cb52bd748f164,,https://a.espncdn.com/i/headshots/nba/players/full/3907788.png,"6' 2""",3907788,0,Jeremiah Martin,PG,,brooklyn-nets,s:40~l:46~a:3907788,185 lbs
Joe Harris,28,09/06/91,"Chelan, WA",Virginia,5,654e75253cf08d2953951254860ee186,,https://a.espncdn.com/i/headshots/nba/players/full/2528794.png,"6' 6""",2528794,12,Joe Harris,SF,"$7,666,667",brooklyn-nets,s:40~l:46~a:2528794,220 lbs
Justin Anderson,26,11/19/93,"Montross, VA",Virginia,4,f8e9cbbb9c45522028bd1c54c154a261,,https://a.espncdn.com/i/headshots/nba/players/full/2982340.png,"6' 5""",2982340,7,Justin Anderson,SG,,brooklyn-nets,s:40~l:46~a:2982340,231 lbs
Kevin Durant,31,09/29/88,"Washington, DC",Texas,12,dc324fdeeee898e209acd31d8ad9909e,,https://a.espncdn.com/i/headshots/nba/players/full/3202.png,"6' 10""",3202,7,Kevin Durant,SF,"$38,199,000",brooklyn-nets,s:40~l:46~a:3202,240 lbs
Kyrie Irving,28,03/23/92,Australia,Duke,8,4fb2e3fcad79d9bcddd9bbb09f29ead3,,https://a.espncdn.com/i/headshots/nba/players/full/6442.png,"6' 2""",6442,11,Kyrie Irving,PG,"$31,742,000",brooklyn-nets,s:40~l:46~a:6442,195 lbs
Nicolas Claxton,20,04/17/99,"Greenville, SC",Georgia,0,2f68e9f3e30bd15451bb0c2a5334860a,,https://a.espncdn.com/i/headshots/nba/players/full/4278067.png,"6' 11""",4278067,33,Nicolas Claxton,PF,"$898,310",brooklyn-nets,s:40~l:46~a:4278067,215 lbs
Rodions Kurucs,22,02/05/98,Latvia,,1,2dd9a52da382bdf8500a707cb4025696,,https://a.espncdn.com/i/headshots/nba/players/full/4230548.png,"6' 9""",4230548,00,Rodions Kurucs,SF,"$1,699,236",brooklyn-nets,s:40~l:46~a:4230548,228 lbs
Spencer Dinwiddie,26,04/06/93,"Los Angeles, CA",Colorado,5,d161d7b2bf154c50b6380c8d8754efe4,,https://a.espncdn.com/i/headshots/nba/players/full/2580782.png,"6' 5""",2580782,26,Spencer Dinwiddie,PG,"$10,605,600",brooklyn-nets,s:40~l:46~a:2580782,215 lbs
Taurean Prince,26,03/22/94,"San Marcos, TX",Baylor,3,bb4c77ff39aa4d3047a4a1e375f721d1,R,https://a.espncdn.com/i/headshots/nba/players/full/2990962.png,"6' 7""",2990962,2,Taurean Prince,PF,"$3,481,986",brooklyn-nets,s:40~l:46~a:2990962,218 lbs
Theo Pinson,24,11/05/95,"Greensboro, NC",North Carolina,1,687b516ff60db03e4392fddc80f2a793,L,https://a.espncdn.com/i/headshots/nba/players/full/3138154.png,"6' 5""",3138154,1,Theo Pinson,SG,"$1,445,697",brooklyn-nets,s:40~l:46~a:3138154,212 lbs
Wilson Chandler,32,05/10/87,"Benton Harbor, MI",DePaul,11,b149743089a545333c827fed0ccaa5da,,https://a.espncdn.com/i/headshots/nba/players/full/3194.png,"6' 8""",3194,21,Wilson Chandler,SF,"$1,620,564",brooklyn-nets,s:40~l:46~a:3194,235 lbs
Allonzo Trier,24,01/17/96,"Seattle, WA",Arizona,1,d5ac89437e634dc8ed054d7ca2650e37,,https://a.espncdn.com/i/headshots/nba/players/full/3907525.png,"6' 4""",3907525,14,Allonzo Trier,SG,"$3,551,000",new-york-knicks,s:40~l:46~a:3907525,200 lbs
Bobby Portis,25,02/10/95,"Little Rock, AR",Arkansas,4,2f914525c16fdef642dbf2a4c1d27502,L,https://a.espncdn.com/i/headshots/nba/players/full/3064482.png,"6' 10""",3064482,1,Bobby Portis,PF,"$15,000,000",new-york-knicks,s:40~l:46~a:3064482,250 lbs
Damyean Dotson,25,05/06/94,"Houston, TX",Houston,2,1b6ee6970611c759fcfd64ab1e60730a,,https://a.espncdn.com/i/headshots/nba/players/full/2991149.png,"6' 5""",2991149,21,Damyean Dotson,SG,"$1,618,520",new-york-knicks,s:40~l:46~a:2991149,210 lbs
Elfrid Payton,26,02/22/94,"Gretna, LA",Louisiana-Lafayette,5,e2160cce28c6ea0ef083f0845a0951e6,,https://a.espncdn.com/i/headshots/nba/players/full/2583639.png,"6' 3""",2583639,6,Elfrid Payton,PG,"$8,000,000",new-york-knicks,s:40~l:46~a:2583639,195 lbs
Frank Ntilikina,21,07/28/98,Belgium,,2,960a65ebc815b94c9fc02712bd4fd93f,,https://a.espncdn.com/i/headshots/nba/players/full/4230547.png,"6' 4""",4230547,11,Frank Ntilikina,PG,"$4,855,800",new-york-knicks,s:40~l:46~a:4230547,200 lbs
Ignas Brazdeikis,21,01/08/99,Lithuania,Michigan,0,113393728f9bce210e964977825ce890,,https://a.espncdn.com/i/headshots/nba/players/full/4397205.png,"6' 6""",4397205,17,Ignas Brazdeikis,SF,"$898,310",new-york-knicks,s:40~l:46~a:4397205,221 lbs
Julius Randle,25,11/29/94,"Dallas, TX",Kentucky,5,cea0d1d3635387c8929ec556ae36dc41,,https://a.espncdn.com/i/headshots/nba/players/full/3064514.png,"6' 8""",3064514,30,Julius Randle,PF,"$18,000,000",new-york-knicks,s:40~l:46~a:3064514,250 lbs
